NAME,COURSE,CREDITS,SEMESTER,YEAR,GRADYEAR,LINK
"CLE (Area 2, 3, or 7)",,3,SPRING,2016,2019,
Statics,ESM 2104,3,FALL,2016,2019,
Introduction to Linear Algebra,MATH 2114,3,FALL,2016,2019,
Multivariable Calculus,MATH 2204,3,FALL,2016,2019,
Foundations of Physics I w/lab,PHYS 2306,4,FALL,2016,2019,
Computational Methods,AOE 2074,2,FALL,2016,2019,
Intro to OE,AOE 2204,2,FALL,2016,2019,
Intro to Phys Ocean for OE,AOE 2214,1,FALL,2016,2019,
Mechanics of Deformable Bodies,ESM 2204,3,SPRING,2017,2019,
Dynamics,ESM 2304,3,SPRING,2017,2019,
Differential Equations,MATH 2214,3,SPRING,2017,2019,
Materials for Aero & Ocean Eng,AOE 3094,3,SPRING,2017,2019,
Naval Architecture,AOE 3204,3,SPRING,2017,2019,
CLE (Area 3),ECON 2005,3,SPRING,2017,2019,
Operational Methods,MATH 4564,3,FALL,2017,2019,
Fundamentals of Thermodynamics,ME 3134,3,FALL,2017,2019,
Aero/Hydrodynamics,AOE 3014,3,FALL,2017,2019,
Thin-Walled Structures,AOE 3024,3,FALL,2017,2019,
System Dynamics & Control,AOE 3034,3,FALL,2017,2019,
Technical Elective,,3,FALL,2017,2019,
Probability & Stat for Engr,STAT 4705,3,SPRING,2018,2019,
AOE Experimental Methods,AOE 3054,3,SPRING,2018,2019,
Ocean Structures,AOE 3224,3,SPRING,2018,2019,
Resistance & Propulsion of Ships,AOE 3264,3,SPRING,2018,2019,
Ocean Wave Mechanics,AOE 4214,3,SPRING,2018,2019,
Marine Engineering,AOE 4244,3,SPRING,2018,2019,
Boundary Layer Theory,AOE 3044,3,FALL,2018,2019,
Ship Design,AOE 4265,3,FALL,2018,2019,
Ocean Engr Lab,AOE 4254,1,FALL,2018,2019,
Ship Dynamics,AOE 4334,3,FALL,2018,2019,
Technical Elective,,3,FALL,2018,2019,
CLE (Area 6),,1,FALL,2018,2019,
Ship Design,AOE 4266,3,SPRING,2019,2019,
Technical Elective,,3,SPRING,2019,2019,
"CLE (Area 2, 3, 7)",,3,SPRING,2019,2019,
"CLE (Area 2, 3, 7)",,3,SPRING,2019,2019,
General Chemistry,CHEM 1035,3,FALL,2016,2020,
General Chemistry Lab,CHEM 1045,1,FALL,2016,2020,
First-Year Writing,ENGL 1105,3,FALL,2016,2020,
Calculus of a Single Variable,MATH 1225,4,FALL,2016,2020,
Foundations of Engineering,ENGE 1215,2,FALL,2016,2020,
"CLE (Area 2, 3, or 7)",,3,FALL,2016,2020,
First-Year Writing,ENGL 1106,3,SPRING,2017,2020,
Calculus of a Single Variable,MATH 1226,4,SPRING,2017,2020,
Foundations of Physics w/lab,PHYS 2305,4,SPRING,2017,2020,
Foundations of Engineering,ENGE 1216,2,SPRING,2017,2020,
"CLE (Area 2, 3, or 7)",,3,SPRING,2017,2020,
Statics and Mechanics of Materials,ESM 2214,3,FALL,2017,2020,
Introduction to Linear Algebra,MATH 2114,3,FALL,2017,2020,
Multivariable Calculus,MATH 2204,3,FALL,2017,2020,
Electronics for Aerospace and Ocean Systems,AOE 2054,3,FALL,2017,2020,
Computational Methods,AOE 2074,2,FALL,2017,2020,
Intro to Ocean Engr,AOE 2204,3,FALL,2017,2020,
Dynamics,ESM 2304,3,SPRING,2018,2020,
Differential Equations,MATH 2214,3,SPRING,2018,2020,
Foundations of Physics w/lab,PHYS 2306,4,SPRING,2018,2020,
Thin-Walled Structures,AOE 2024,3,SPRING,2018,2020,
Principles of Economics (CLE Area 3),ECON 2005,3,SPRING,2018,2020,
CLE (Area 6),,1,SPRING,2018,2020,
Operational Methods,MATH 4564,3,FALL,2018,2020,
Fluid Dynamics for Aerospace and Ocean Engineers,AOE 3014,3,FALL,2018,2020,
System Dynamics and Control,AOE 3034,3,FALL,2018,2020,
Ocean Wave Mechanics,AOE 3214,3,FALL,2018,2020,
Technical Elective,,3,FALL,2018,2020,
Oceanography,GEOS 3034,3,SPRING,2019,2020,
AOE Experimental Methods,AOE 3054,3,SPRING,2019,2020,
Ocean Structures,AOE 3224,3,SPRING,2019,2020,
Ocean Vehicle Dynamics,AOE 3234,3,SPRING,2019,2020,
Thermodynamics and Marine Propulsion,AOE 3264,3,SPRING,2019,2020,
Experiments for Ocean Vehicle Design I,AOE 4205,1,FALL,2019,2020,
Ocean Vehicle Design I,AOE 4265,3,FALL,2019,2020,
Probability & Stat for Engr,STAT 4705,3,FALL,2019,2020,
Technical Elective,,3,FALL,2019,2020,
Technical Elective,,3,FALL,2019,2020,
"CLE (Area 2, 3, or 7)",,3,FALL,2019,2020,
Experiments for Ocean Vehicle Design II,AOE 4206,1,SPRING,2020,2020,
Ocean Vehicle Design II,AOE 4266,3,SPRING,2020,2020,
Technical Elective,,3,SPRING,2020,2020,
Technical Elective,,3,SPRING,2020,2020,
Technical Elective,,3,SPRING,2020,2020,
"CLE (Area 2, 3, or 7)",,3,SPRING,2020,2020,
